Completion Year,State,Total,Degree-granting,"Non-degree-granting, primarily postsecondary",American Indian or Alaska Native,Asian or Pacific Islander,Asian,Native Hawaiian or Other Pacific Islander,Black or African American,Hispanic or Latino,White,Two or more races,Race/ethnicity unknown,U.S. Nonresident,Male,Female
2015-16,District of Columbia,"26,702","26,407",295,75,,"1,750",41,"5,419","1,672","11,769",619,"2,096","3,261","11,039","15,663"
2015-16,Florida,"320,138","292,398","27,740",990,,"9,628",738,"54,774","76,056","143,072","7,535","14,743","12,602","129,516","190,622"
2015-16,Georgia,"144,199","140,191","4,008",423,,"5,720",190,"45,585","7,857","72,325","2,826","3,636","5,637","58,151","86,048"
2015-16,Hawaii,"15,673","15,433",240,40,,"4,958","1,093",304,"1,406","2,932","3,566",257,"1,117","6,560","9,113"
2015-16,Idaho,"22,389","21,384","1,005",184,,296,62,206,"1,741","17,548",642,958,752,"9,263","13,126"
2015-16,Illinois,"212,487","205,805","6,682",552,,"12,352",378,"25,106","25,541","120,338","4,180","10,310","13,730","91,103","121,384"
2015-16,Indiana,"99,368","97,014","2,354",246,,"2,512",95,"8,140","4,872","71,604","2,057","2,565","7,277","41,565","57,803"
2015-16,Iowa,"64,263","63,209","1,054",346,,"1,380",102,"5,054","3,683","46,328","1,106","3,290","2,974","26,075","38,188"
2015-16,Kansas,"52,522","50,526","1,996",608,,"1,212",84,"3,731","4,089","35,738","1,398","2,451","3,211","21,867","30,655"
2015-16,Kentucky,"71,640","69,998","1,642",130,,"1,011",79,"5,283","1,744","58,493","1,338","1,705","1,857","31,316","40,324"
2015-16,Louisiana,"69,421","62,848","6,573",467,,"1,486",62,"20,236","3,129","37,528","1,210","3,113","2,190","29,945","39,476"
2015-16,Maine,"15,370","14,528",842,132,,325,23,371,315,"12,512",275,"1,062",355,"5,947","9,423"
2015-16,Maryland,"85,053","82,040","3,013",225,,"6,032",186,"18,695","5,618","42,771","2,544","3,420","5,562","36,468","48,585"
2015-16,Massachusetts,"134,964","129,024","5,940",266,,"9,340",103,"9,028","10,820","75,473","3,112","9,790","17,032","55,845","79,119"
2015-16,Michigan,"137,982","130,175","7,807",786,,"4,559",134,"14,583","5,048","94,732","2,911","5,862","9,367","57,878","80,104"
2015-16,Minnesota,"102,645","101,415","1,230",678,,"4,722",141,"10,804","4,115","70,051","2,621","5,313","4,200","37,914","64,731"
2015-16,Mississippi,"43,488","41,858","1,630",151,,556,27,"15,077",771,"25,083",491,631,701,"16,991","26,497"
2015-16,Missouri,"99,860","96,870","2,990",437,,"2,679",153,"11,132","4,177","68,386","2,214","3,416","7,266","42,270","57,590"
2015-16,Montana,"11,280","10,987",293,650,,170,15,87,338,"9,000",241,447,332,"4,939","6,341"
2015-16,Nebraska,"30,314","29,819",495,134,,679,45,"1,248","2,264","22,981",627,"1,174","1,162","13,114","17,200"
2015-16,Nevada,"26,076","23,672","2,404",223,,"2,452",324,"1,888","5,648","12,673","1,220",954,694,"10,302","15,774"
2015-16,New Hampshire,"25,549","24,706",843,103,,876,22,760,730,"14,295",245,"7,265","1,253","10,323","15,226"
2015-16,New Jersey,"101,608","91,286","10,322",238,,"7,967",279,"12,910","16,836","48,571","1,683","6,930","6,194","43,379","58,229"
2015-16,New Mexico,"31,460","30,574",886,"2,298",,539,83,932,"13,375","11,224",633,"1,479",897,"12,112","19,348"
2015-16,New York,"326,116","304,876","21,240",937,,"26,838",542,"39,015","43,934","156,855","6,330","16,611","35,054","131,525","194,591"
2015-16,North Carolina,"138,477","135,248","3,229","1,416",,"4,077",204,"26,477","7,894","84,230","2,878","5,795","5,506","59,004","79,473"
2015-16,North Dakota,"11,871","11,558",313,470,,112,18,299,272,"9,505",224,346,625,"5,438","6,433"
2015-16,Ohio,"163,557","151,157","12,400",370,,"3,869",122,"16,608","4,945","118,566","3,263","6,712","9,102","68,341","95,216"
2015-16,Oklahoma,"56,534","45,323","11,211","4,858",,"1,528",123,"4,281","4,169","34,214","3,266","1,526","2,569","24,766","31,768"
2015-16,Oregon,"58,613","56,747","1,866",637,,"2,757",275,"1,472","5,360","38,518","2,318","4,631","2,645","23,691","34,922"
2015-16,Pennsylvania,"190,632","181,711","8,921",330,,"8,816",214,"17,985","9,986","128,536","3,772","8,427","12,566","81,534","109,098"
2015-16,Rhode Island,"20,613","19,355","1,258",68,,725,23,"1,204","1,835","13,118",574,"1,601","1,465","8,705","11,908"
2015-16,South Carolina,"56,313","54,725","1,588",196,,934,61,"13,001","1,919","36,494","1,309","1,179","1,220","22,570","33,743"
2015-16,South Dakota,"11,478","11,261",217,376,,138,15,231,267,"9,783",164,166,338,"4,793","6,685"
2015-16,Tennessee,"84,167","75,213","8,954",227,,"1,786",70,"13,750","2,817","59,494","1,940","2,064","2,019","34,678","49,489"
2015-16,Texas,"350,579","333,391","17,188","1,397",,"18,833",621,"41,162","113,340","139,517","7,804","7,033","20,872","147,252","203,327"
2015-16,Utah,"72,622","62,826","9,796",502,,"2,028",351,"1,758","5,236","56,565","1,524","2,720","1,938","32,269","40,353"
2015-16,Vermont,"10,664","10,562",102,48,,234,6,266,433,"8,376",272,711,318,"4,800","5,864"
2015-16,Virginia,"137,487","135,001","2,486",497,,"8,396",390,"24,327","8,798","78,023","4,102","7,969","4,985","56,589","80,898"
2015-16,Washington,"108,231","105,477","2,754","1,151",,"8,755",622,"4,469","11,076","62,711","5,939","6,963","6,545","47,260","60,971"
2015-16,West Virginia,"35,974","34,376","1,598",144,,599,137,"3,129","1,773","27,460",739,"1,068",925,"17,337","18,637"
2015-16,Wisconsin,"83,041","82,011","1,030",587,,"2,646",79,"3,497","3,751","65,882","1,667","1,960","2,972","34,403","48,638"
2015-16,Wyoming,"7,197","7,169",28,78,,72,17,111,444,"5,761",149,322,243,"3,322","3,875"
2014-15,Total,"4,863,935","4,582,619","281,316","34,020",,"267,587","13,075","579,925","627,221","2,733,518","114,403","248,614","245,572","2,015,290","2,848,645"
2014-15,Alabama,"67,251","66,609",642,473,,"1,158",53,"15,962","1,785","42,389",850,"2,856","1,725","28,709","38,542"
2014-15,Alaska,"7,346","6,992",354,671,,310,114,213,864,"4,059",441,579,95,"2,679","4,667"
2014-15,Arizona,"171,214","163,974","7,240","3,473",,"5,646",799,"17,370","31,479","83,917","4,322","19,310","4,898","66,550","104,664"
2014-15,Arkansas,"45,032","42,939","2,093",365,,682,39,"7,218","1,989","32,238",946,351,"1,204","17,630","27,402"
2014-15,California,"565,562","528,583","36,979","2,455",,"84,335","3,294","34,967","168,395","187,368","20,398","32,504","31,846","234,303","331,259"
2014-15,Colorado,"87,889","82,603","5,286",818,,"2,646",234,"5,118","12,018","56,331","2,528","5,476","2,720","38,451","49,438"
2014-15,Connecticut,"52,405","45,023","7,382",145,,"2,378",61,"5,141","5,722","31,050","1,317","3,861","2,730","22,303","30,102"
2014-15,Delaware,"14,133","12,920","1,213",50,,411,20,"2,549",693,"8,224",261,740,"1,185","5,040","9,093"
2014-15,District of Columbia,"26,873","26,316",557,90,,"1,724",53,"5,547","1,733","11,568",583,"2,530","3,045","11,226","15,647"
2014-15,Florida,"319,363","291,666","27,697","1,079",,"9,400",716,"53,332","72,382","144,764","6,683","20,217","10,790","129,437","189,926"
2014-15,Georgia,"138,635","133,981","4,654",373,,"5,426",200,"44,771","6,781","69,980","2,316","4,105","4,683","55,333","83,302"
2014-15,Hawaii,"15,434","15,158",276,40,,"4,813","1,186",337,"1,304","3,015","3,333",283,"1,123","6,422","9,012"
2014-15,Idaho,"21,591","20,500","1,091",189,,312,63,226,"1,530","17,197",541,920,613,"8,988","12,603"
2014-15,Illinois,"213,282","204,352","8,930",567,,"11,875",407,"26,587","23,904","122,272","4,036","11,017","12,617","91,189","122,093"
2014-15,Indiana,"101,511","98,669","2,842",247,,"2,358",72,"8,366","4,364","73,725","1,880","3,647","6,852","42,043","59,468"
2014-15,Iowa,"66,491","65,425","1,066",356,,"1,405",105,"4,917","3,306","48,747",932,"3,852","2,871","26,889","39,602"
2014-15,Kansas,"53,323","51,306","2,017",638,,"1,184",98,"4,037","3,774","36,425","1,357","2,557","3,253","22,178","31,145"
2014-15,Kentucky,"71,179","69,400","1,779",135,,"1,063",64,"5,554","1,612","58,299","1,212","1,687","1,553","30,110","41,069"
2014-15,Louisiana,"72,630","65,335","7,295",466,,"1,542",79,"21,272","3,052","40,420",987,"2,714","2,098","32,497","40,133"
2014-15,Maine,"15,456","14,184","1,272",135,,278,20,500,328,"12,536",247,"1,055",357,"5,990","9,466"
2014-15,Maryland,"85,112","81,627","3,485",248,,"5,942",144,"19,258","5,218","43,613","2,223","3,301","5,165","36,556","48,556"
2014-15,Massachusetts,"132,144","125,779","6,365",303,,"8,838",87,"8,973","10,261","75,253","3,242","10,644","14,543","54,868","77,276"
2014-15,Michigan,"142,359","132,676","9,683",771,,"4,636",133,"16,073","5,233","97,591","2,622","7,060","8,240","58,824","83,535"
2014-15,Minnesota,"102,574","100,971","1,603",730,,"4,428",130,"10,112","3,857","72,013","2,448","5,254","3,602","37,896","64,678"
2014-15,Mississippi,"42,255","40,359","1,896",159,,496,32,"14,800",708,"24,323",420,569,748,"16,607","25,648"
2014-15,Missouri,"100,643","97,307","3,336",459,,"2,656",150,"11,553","3,972","69,944","1,875","3,807","6,227","42,813","57,830"
2014-15,Montana,"11,715","11,340",375,729,,166,22,73,304,"9,408",253,480,280,"4,936","6,779"
2014-15,Nebraska,"30,317","29,789",528,142,,659,46,"1,248","2,128","23,574",486,"1,040",994,"12,947","17,370"
2014-15,Nevada,"26,205","23,593","2,612",238,,"2,568",331,"2,006","5,259","12,966","1,147","1,053",637,"10,306","15,899"
2014-15,New Hampshire,"23,694","22,765",929,79,,661,9,568,597,"14,318",216,"6,129","1,117","9,491","14,203"
2014-15,New Jersey,"101,696","89,385","12,311",201,,"7,646",288,"13,363","16,723","49,536","1,576","7,241","5,122","42,984","58,712"
2014-15,New Mexico,"32,417","31,644",773,"2,484",,550,87,980,"13,515","11,746",575,"1,418","1,062","12,842","19,575"
2014-15,New York,"326,563","301,789","24,774","1,112",,"26,207",536,"39,710","41,800","160,209","5,714","18,193","33,082","131,358","195,205"
2014-15,North Carolina,"139,459","135,842","3,617","1,410",,"4,022",158,"27,904","7,121","86,256","2,504","5,233","4,851","58,492","80,967"
2014-15,North Dakota,"12,093","11,763",330,471,,127,14,292,253,"9,639",190,429,678,"5,504","6,589"
2014-15,Ohio,"165,727","150,623","15,104",465,,"3,691",122,"17,359","4,651","121,687","2,790","6,879","8,083","67,873","97,854"
2014-15,Oklahoma,"56,201","45,612","10,589","4,922",,"1,392",109,"4,425","3,860","34,821","2,531","1,711","2,430","24,871","31,330"
2014-15,Oregon,"59,839","58,083","1,756",647,,"2,685",321,"1,791","4,899","41,151","2,133","3,828","2,384","23,918","35,921"
2014-15,Pennsylvania,"194,216","183,722","10,494",364,,"8,366",182,"19,045","9,927","132,070","3,558","9,543","11,161","82,301","111,915"
2014-15,Rhode Island,"20,590","19,292","1,298",54,,732,21,"1,130","1,702","13,204",429,"1,886","1,432","8,951","11,639"
2014-15,South Carolina,"55,854","54,282","1,572",208,,882,57,"12,945","1,831","36,122","1,141","1,427","1,241","21,939","33,915"
2014-15,South Dakota,"11,341","11,134",207,400,,119,25,159,246,"9,777",156,157,302,"4,868","6,473"
2014-15,Tennessee,"82,644","73,677","8,967",220,,"1,626",69,"13,595","2,476","58,899","1,771","2,135","1,853","34,107","48,537"
2014-15,Texas,"334,010","314,794","19,216","1,363",,"17,500",544,"40,053","104,694","137,550","6,409","7,496","18,401","139,276","194,734"
2014-15,Utah,"68,506","59,174","9,332",534,,"1,852",393,"1,605","4,655","53,744","1,329","2,704","1,690","30,683","37,823"
2014-15,Vermont,"10,651","10,540",111,55,,252,7,252,398,"8,386",241,755,305,"4,743","5,908"
2014-15,Virginia,"134,984","132,182","2,802",464,,"8,148",515,"25,436","8,649","76,962","3,574","7,417","3,819","55,771","79,213"
2014-15,Washington,"105,981","102,522","3,459","1,125",,"8,535",634,"4,439","9,744","63,262","5,319","6,717","6,206","45,824","60,157"
2014-15,West Virginia,"34,918","33,134","1,784",164,,547,131,"3,045","1,427","27,037",676,"1,071",820,"17,342","17,576"
2014-15,Wisconsin,"84,915","83,600","1,315",622,,"2,626",83,"3,633","3,591","67,722","1,561","2,466","2,611","34,562","50,353"
2014-15,Wyoming,"7,712","7,684",28,112,,86,18,116,507,"6,211",124,310,228,"3,870","3,842"
2013-14,Total,"4,832,282","4,528,120","304,162","34,496",,"260,617","13,931","575,366","590,901","2,760,191","99,414","273,939","223,427","1,991,492","2,840,790"
2013-14,Alabama,"64,944","64,153",791,474,,"1,129",63,"14,756","1,633","40,314",671,"4,312","1,592","27,338","37,606"
2013-14,Alaska,"7,394","7,394",,699,,282,93,227,888,"4,046",467,539,153,"2,634","4,760"
2013-14,Arizona,"177,595","170,296","7,299","3,470",,"5,483",799,"18,477","29,079","89,425","3,611","22,610","4,641","68,594","109,001"
2013-14,Arkansas,"44,053","41,546","2,507",369,,600,45,"7,290","1,712","31,667",744,442,"1,184","17,129","26,924"
2013-14,California,"565,214","524,226","40,988","2,777",,"81,908","3,817","36,899","160,707","191,931","18,567","40,432","28,176","231,813","333,401"
2013-14,Colorado,"88,453","82,168","6,285",834,,"2,850",228,"5,225","11,355","56,794","2,328","6,503","2,336","38,740","49,713"
2013-14,Connecticut,"52,524","44,507","8,017",131,,"2,113",58,"5,132","5,629","32,082",982,"3,790","2,607","21,817","30,707"
2013-14,Delaware,"13,655","12,263","1,392",42,,404,17,"2,488",733,"7,758",229,949,"1,035","4,960","8,695"
2013-14,District of Columbia,"27,088","26,419",669,102,,"1,711",45,"5,360","1,628","12,177",472,"2,737","2,856","11,452","15,636"
2013-14,Florida,"317,989","287,122","30,867","1,115",,"9,383",675,"52,792","71,629","146,574","5,389","20,263","10,169","128,470","189,519"
2013-14,Georgia,"134,000","128,336","5,664",353,,"5,477",170,"41,974","6,082","67,903","2,102","5,429","4,510","53,498","80,502"
2013-14,Hawaii,"16,364","16,033",331,46,,"5,336","1,362",355,"1,303","3,214","3,270",383,"1,095","6,669","9,695"
2013-14,Idaho,"21,498","20,296","1,202",244,,335,96,208,"1,591","17,435",270,814,505,"8,993","12,505"
2013-14,Illinois,"216,679","204,744","11,935",553,,"12,499",395,"28,063","23,409","126,468","3,381","10,831","11,080","91,840","124,839"
2013-14,Indiana,"100,234","97,402","2,832",303,,"2,228",63,"8,406","3,825","73,835","1,244","4,213","6,117","42,112","58,122"
2013-14,Iowa,"65,523","64,352","1,171",345,,"1,277",123,"4,411","3,044","48,073",695,"4,670","2,885","26,219","39,304"
2013-14,Kansas,"53,803","51,393","2,410",663,,"1,173",95,"3,910","3,650","37,342","1,112","2,644","3,214","22,135","31,668"
2013-14,Kentucky,"73,103","71,418","1,685",189,,"1,054",74,"5,802","1,557","60,311","1,185","1,594","1,337","31,026","42,077"
2013-14,Louisiana,"73,442","67,363","6,079",487,,"1,439",49,"20,388","2,914","42,272",809,"2,875","2,209","33,198","40,244"
2013-14,Maine,"15,219","14,070","1,149",120,,255,11,438,294,"12,139",531,"1,109",322,"5,852","9,367"
2013-14,Maryland,"84,585","79,576","5,009",205,,"5,649",136,"20,282","4,636","43,749","1,914","3,438","4,576","36,002","48,583"
2013-14,Massachusetts,"132,465","124,844","7,621",278,,"8,671",122,"8,953","10,068","76,589","2,544","12,117","13,123","54,335","78,130"
2013-14,Michigan,"143,664","133,702","9,962",809,,"4,509",134,"16,654","4,812","99,677","2,639","6,951","7,479","58,798","84,866"
2013-14,Minnesota,"103,436","101,267","2,169",760,,"4,251",128,"9,629","3,537","73,955","2,285","5,480","3,411","39,032","64,404"
2013-14,Mississippi,"39,995","38,176","1,819",149,,509,36,"13,526",618,"23,391",324,838,604,"15,287","24,708"
2013-14,Missouri,"98,744","94,669","4,075",517,,"2,494",181,"11,539","3,480","70,300","1,421","4,201","4,611","41,181","57,563"
2013-14,Montana,"11,058","10,726",332,692,,163,20,79,289,"8,938",213,431,233,"4,789","6,269"
2013-14,Nebraska,"30,388","29,845",543,160,,717,49,"1,317","1,443","24,167",464,"1,099",972,"13,218","17,170"
2013-14,Nevada,"25,065","22,465","2,600",225,,"2,323",370,"1,868","4,658","12,543",977,"1,241",860,"9,620","15,445"
2013-14,New Hampshire,"20,768","19,763","1,005",86,,484,8,385,605,"13,582",223,"4,412",983,"8,260","12,508"
2013-14,New Jersey,"102,607","87,939","14,668",227,,"7,521",295,"14,144","15,990","51,253","1,472","6,691","5,014","43,026","59,581"
2013-14,New Mexico,"30,533","29,634",899,"2,289",,559,62,915,"12,412","11,370",536,"1,509",881,"11,981","18,552"
2013-14,New York,"328,612","302,271","26,341",959,,"25,187",570,"39,476","39,968","165,738","5,514","20,472","30,728","130,825","197,787"
2013-14,North Carolina,"134,255","130,675","3,580","1,285",,"3,567",186,"27,023","6,043","83,500","2,030","6,096","4,525","55,073","79,182"
2013-14,North Dakota,"12,127","11,766",361,517,,130,15,256,223,"9,846",143,360,637,"5,326","6,801"
2013-14,Ohio,"164,197","148,844","15,353",481,,"3,723",114,"17,139","4,242","122,051","2,266","7,224","6,957","67,375","96,822"
2013-14,Oklahoma,"56,177","45,278","10,899","5,020",,"1,275",120,"4,442","3,551","35,141","2,317","2,067","2,244","24,791","31,386"
2013-14,Oregon,"57,902","56,053","1,849",725,,"2,774",388,"1,451","4,036","40,908","2,048","3,512","2,060","23,459","34,443"
2013-14,Pennsylvania,"196,477","185,782","10,695",424,,"8,279",185,"19,010","9,353","135,161","2,934","10,345","10,786","83,477","113,000"
2013-14,Rhode Island,"20,420","19,148","1,272",75,,764,14,"1,062","1,571","12,946",370,"2,255","1,363","8,885","11,535"
2013-14,South Carolina,"55,409","53,841","1,568",169,,858,66,"12,583","1,537","35,459",849,"2,688","1,200","21,606","33,803"
2013-14,South Dakota,"11,406","11,167",239,441,,120,15,157,225,"9,850",145,226,227,"4,929","6,477"
2013-14,Tennessee,"84,013","74,829","9,184",254,,"1,527",75,"14,172","2,388","59,653","1,357","2,978","1,609","34,662","49,351"
2013-14,Texas,"321,333","301,705","19,628","1,319",,"16,364",512,"39,203","95,887","138,061","5,437","8,897","15,653","132,493","188,840"
2013-14,Utah,"66,258","57,224","9,034",540,,"1,720",397,"1,629","4,354","51,661","1,102","3,255","1,600","29,681","36,577"
2013-14,Vermont,"10,728","10,625",103,46,,242,6,234,332,"8,416",218,925,309,"4,730","5,998"
2013-14,Virginia,"133,461","130,622","2,839",427,,"7,880",582,"24,679","8,009","77,501","3,119","7,490","3,774","55,615","77,846"
2013-14,Washington,"102,268","98,285","3,983","1,169",,"8,295",654,"4,437","8,597","62,921","4,382","6,410","5,403","44,440","57,828"
2013-14,West Virginia,"33,380","31,571","1,809",163,,544,114,"2,750","1,439","26,022",601,"1,000",747,"16,329","17,051"
2013-14,Wisconsin,"83,745","82,322","1,423",650,,"2,517",80,"3,667","3,369","67,633","1,382","1,899","2,548","33,543","50,202"
2013-14,Wyoming,"8,032","8,005",27,119,,65,19,104,567,"6,449",129,293,287,"4,235","3,797"
2012-13,Total,"4,793,988","4,477,746","316,242","35,372",,"256,525","14,316","571,811","561,058","2,775,337","80,764","291,677","207,128","1,957,031","2,836,957"
2012-13,Alabama,"66,737","65,915",822,475,,"1,168",45,"16,535","1,560","41,706",504,"3,146","1,598","27,914","38,823"
2012-13,Alaska,"6,952","6,952",,671,,271,76,214,800,"3,995",373,421,131,"2,453","4,499"
2012-13,Arizona,"191,232","183,139","8,093","3,647",,"5,688",907,"20,733","28,991","96,310","3,266","26,803","4,887","73,605","117,627"
2012-13,Arkansas,"42,082","39,385","2,697",319,,614,31,"6,787","1,412","30,629",678,461,"1,151","16,130","25,952"
2012-13,California,"536,826","490,230","46,596","2,880",,"81,776","4,014","31,212","148,640","184,340","14,220","43,741","26,003","222,108","314,718"
2012-13,Colorado,"86,954","80,976","5,978",810,,"2,753",188,"5,243","10,547","56,537","1,699","7,143","2,034","37,182","49,772"
2012-13,Connecticut,"52,438","44,043","8,395",131,,"2,159",46,"4,963","5,364","31,951",819,"4,458","2,547","21,863","30,575"
2012-13,Delaware,"13,574","12,083","1,491",35,,455,16,"2,525",659,"7,792",209,"1,250",633,"4,856","8,718"
2012-13,District of Columbia,"26,477","25,875",602,103,,"1,731",52,"5,160","1,530","11,973",407,"3,079","2,442","11,091","15,386"
2012-13,Florida,"320,360","291,276","29,084","1,204",,"9,292",563,"52,917","71,742","150,984","4,294","20,011","9,353","128,009","192,351"
2012-13,Georgia,"131,338","126,176","5,162",364,,"5,156",178,"40,871","5,418","68,041","1,895","5,372","4,043","51,510","79,828"
2012-13,Hawaii,"14,834","14,425",409,55,,"4,683","1,371",316,"1,155","3,210","2,724",344,976,"6,084","8,750"
2012-13,Idaho,"21,517","20,212","1,305",214,,312,85,208,"1,497","17,580",228,843,550,"8,984","12,533"
2012-13,Illinois,"222,417","208,896","13,521",575,,"12,104",481,"29,816","23,244","130,821","3,223","11,731","10,422","92,429","129,988"
2012-13,Indiana,"98,353","95,408","2,945",267,,"2,192",68,"7,989","3,641","73,654","1,213","3,937","5,392","40,677","57,676"
2012-13,Iowa,"84,665","83,396","1,269",510,,"1,497",213,"9,826","4,190","56,730",934,"8,225","2,540","31,109","53,556"
2012-13,Kansas,"51,596","49,395","2,201",697,,"1,087",81,"3,282","3,084","37,088",940,"2,054","3,283","20,434","31,162"
2012-13,Kentucky,"70,915","69,261","1,654",176,,"1,034",78,"5,752","1,295","58,660",964,"1,698","1,258","28,713","42,202"
2012-13,Louisiana,"67,287","60,847","6,440",418,,"1,412",64,"18,981","2,361","38,109",548,"3,348","2,046","29,010","38,277"
2012-13,Maine,"15,060","13,789","1,271",125,,249,16,461,238,"12,121",158,"1,395",297,"5,642","9,418"
2012-13,Maryland,"83,099","78,373","4,726",224,,"5,547",133,"19,746","4,256","43,649","1,539","3,612","4,393","34,763","48,336"
2012-13,Massachusetts,"129,800","121,582","8,218",337,,"8,291",104,"9,027","9,587","76,186","2,062","11,993","12,213","53,111","76,689"
2012-13,Michigan,"146,992","136,627","10,365",954,,"4,447",141,"16,689","4,464","102,802","2,358","7,904","7,233","59,827","87,165"
2012-13,Minnesota,"104,134","101,645","2,489",779,,"4,095",118,"9,315","3,291","74,766","2,086","6,337","3,347","39,186","64,948"
2012-13,Mississippi,"37,544","35,797","1,747",148,,379,43,"12,841",506,"22,419",220,466,522,"13,782","23,762"
2012-13,Missouri,"99,725","95,458","4,267",528,,"2,501",145,"12,413","3,282","70,749","1,249","4,576","4,282","41,982","57,743"
2012-13,Montana,"10,704","10,304",400,606,,134,25,68,279,"8,922",162,232,276,"4,535","6,169"
2012-13,Nebraska,"30,623","29,988",635,177,,621,48,"1,367","1,276","24,543",453,"1,184",954,"13,223","17,400"
2012-13,Nevada,"22,591","19,489","3,102",191,,"1,992",318,"1,722","3,883","11,602",805,"1,290",788,"8,368","14,223"
2012-13,New Hampshire,"19,491","18,486","1,005",86,,465,11,370,574,"13,833",129,"3,058",965,"7,792","11,699"
2012-13,New Jersey,"99,009","82,308","16,701",228,,"6,751",359,"13,876","14,891","49,896","1,218","7,115","4,675","40,854","58,155"
2012-13,New Mexico,"32,704","31,734",970,"2,383",,580,108,973,"13,127","12,594",507,"1,580",852,"12,389","20,315"
2012-13,New York,"323,918","298,469","25,449",976,,"24,568",602,"38,671","37,035","168,319","4,002","21,309","28,436","129,414","194,504"
2012-13,North Carolina,"127,510","123,965","3,545","1,240",,"3,938",149,"25,323","5,287","80,772","1,480","5,976","3,345","51,750","75,760"
2012-13,North Dakota,"11,830","11,459",371,544,,133,7,210,209,"9,578",107,382,660,"5,317","6,513"
2012-13,Ohio,"161,277","145,547","15,730",476,,"3,556",100,"17,122","3,897","121,216","1,623","7,002","6,285","65,019","96,258"
2012-13,Oklahoma,"55,225","44,292","10,933","5,025",,"1,312",107,"4,302","2,920","35,068","1,994","2,218","2,279","23,865","31,360"
2012-13,Oregon,"56,947","54,864","2,083",723,,"2,803",329,"1,279","3,975","40,476","1,278","4,177","1,907","23,016","33,931"
2012-13,Pennsylvania,"197,839","186,704","11,135",453,,"8,059",201,"19,236","8,756","137,960","2,302","11,548","9,324","83,062","114,777"
2012-13,Rhode Island,"20,608","18,699","1,909",58,,809,7,990,"1,560","13,062",240,"2,672","1,210","8,992","11,616"
2012-13,South Carolina,"55,027","53,302","1,725",211,,817,84,"13,267","1,361","35,998",729,"1,412","1,148","21,184","33,843"
2012-13,South Dakota,"11,373","11,108",265,457,,112,14,187,171,"9,839",191,169,233,"4,871","6,502"
2012-13,Tennessee,"84,230","74,785","9,445",263,,"1,553",82,"14,501","2,254","60,203","1,214","2,680","1,480","34,555","49,675"
2012-13,Texas,"315,252","294,153","21,099","1,367",,"16,150",508,"37,885","92,839","138,816","4,028","8,760","14,899","129,787","185,465"
2012-13,Utah,"62,226","54,194","8,032",437,,"1,553",324,"1,320","3,844","48,487","1,435","3,235","1,591","27,630","34,596"
2012-13,Vermont,"11,746","11,622",124,49,,219,8,223,369,"8,456",198,"1,951",273,"5,312","6,434"
2012-13,Virginia,"131,304","129,284","2,020",489,,"7,858",838,"24,552","7,221","76,415","2,315","7,941","3,675","54,223","77,081"
2012-13,Washington,"104,894","100,298","4,596","1,332",,"8,619",664,"4,420","7,726","65,744","3,829","7,613","4,947","46,057","58,837"
2012-13,West Virginia,"31,047","29,325","1,722",148,,494,75,"2,324","1,143","24,501",461,"1,206",695,"15,012","16,035"
2012-13,Wisconsin,"85,538","84,072","1,466",677,,"2,474",77,"3,713","3,153","69,554","1,158","2,294","2,438","33,993","51,545"
2012-13,Wyoming,"8,167","8,134",33,130,,62,14,88,554,"6,681",96,325,217,"4,357","3,810"
2011-12,Total,"4,782,571","4,432,534","350,037","35,146",,"249,620","13,715","578,217","533,005","2,784,091","63,474","328,938","196,365","1,936,542","2,846,029"
2011-12,Alabama,"65,991","65,228",763,437,,"1,160",49,"17,143","1,352","40,927",426,"3,016","1,481","27,281","38,710"
2011-12,Alaska,"6,432","6,140",292,607,,253,58,201,661,"3,792",298,383,179,"2,261","4,171"
2011-12,Arizona,"211,744","201,969","9,775","3,894",,"5,646",967,"22,372","28,973","105,415","2,335","36,935","5,207","79,798","131,946"
2011-12,Arkansas,"41,438","38,847","2,591",335,,510,36,"7,010","1,230","29,978",508,699,"1,132","15,585","25,853"
2011-12,California,"522,967","471,962","51,005","3,185",,"78,233","3,893","30,524","140,416","182,012","10,477","48,228","25,999","213,497","309,470"
2011-12,Colorado,"85,596","80,474","5,122",796,,"2,720",180,"5,655","9,624","55,825","1,585","7,388","1,823","35,545","50,051"
2011-12,Connecticut,"51,736","42,370","9,366",141,,"2,063",36,"5,187","5,218","31,391",579,"4,576","2,545","21,308","30,428"
2011-12,Delaware,"13,418","11,530","1,888",37,,343,19,"2,589",673,"7,739",162,"1,274",582,"4,723","8,695"
2011-12,District of Columbia,"25,122","24,551",571,78,,"1,631",39,"5,191","1,322","11,275",245,"3,299","2,042","10,541","14,581"
2011-12,Florida,"321,609","288,186","33,423","1,187",,"9,356",500,"53,878","70,443","154,575","3,227","19,501","8,942","128,283","193,326"
2011-12,Georgia,"132,716","127,260","5,456",386,,"4,878",154,"42,218","5,128","68,752","1,742","5,651","3,807","53,553","79,163"
2011-12,Hawaii,"14,351","13,862",489,61,,"4,804","1,287",298,"1,044","3,044","2,488",241,"1,084","5,632","8,719"
2011-12,Idaho,"20,161","18,865","1,296",193,,308,61,199,"1,208","16,687",145,903,457,"8,268","11,893"
2011-12,Illinois,"216,825","203,580","13,245",628,,"11,762",413,"28,754","21,747","129,743","2,883","11,082","9,813","89,888","126,937"
